五行,無料(○),アイテム,似合う色,メモ,時間帯,九星タグ,表示文,カテゴリ,使う場面,季節タグ,重複回避タグ
火,,赤いメモ帳,朱赤,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「赤いメモ帳」を取り入れると、心に小さな灯りを足しやすい日です。,文具・学び,考えごと・学び,通年,火|文具・学び|朱赤|赤いメモ帳
火,,テラコッタの植木鉢,テラコッタ,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「テラコッタの植木鉢」を取り入れると、心に小さな灯りを足しやすい日です。,暮らしの道具,生活の土台を整える,通年,火|暮らしの道具|テラコッタ|テラコッタの植木鉢
火,,朱色の箸置き,朱色,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「朱色の箸置き」を取り入れると、心に小さな灯りを足しやすい日です。,暮らしの道具,生活の土台を整える,通年,火|暮らしの道具|朱色|朱色の箸置き
火,,ピンクゴールドの腕時計,ピンクゴールド,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「ピンクゴールドの腕時計」を取り入れると、心に小さな灯りを足しやすい日です。,身につけるもの,外出前・身支度,通年,火|身につけるもの|ピンクゴールド|ピンクゴールドの腕時計
火,,赤いブローチ,ボルドー,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「赤いブローチ」を取り入れると、心に小さな灯りを足しやすい日です。,身につけるもの,外出前・身支度,通年,火|身につけるもの|ボルドー|赤いブローチ
火,,オレンジの花束,マリーゴールド,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「オレンジの花束」を取り入れると、心に小さな灯りを足しやすい日です。,植物・花,部屋や机まわりを整える,春,火|植物・花|マリーゴールド|オレンジの花束
火,,アプリコット色のハンカチ,アプリコット,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「アプリコット色のハンカチ」を取り入れると、心に小さな灯りを足しやすい日です。,身につけるもの,外出前・身支度,通年,火|身につけるもの|アプリコット|アプリコット色のハンカチ
火,,暖色の入浴剤,アプリコット,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「暖色の入浴剤」を取り入れると、心に小さな灯りを足しやすい日です。,飲食・休息,休憩・回復,秋・冬,火|飲食・休息|アプリコット|暖色の入浴剤
火,,琥珀色のグラス,アンバー,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「琥珀色のグラス」を取り入れると、心に小さな灯りを足しやすい日です。,日用品,日常に小さく取り入れる,通年,火|日用品|アンバー|琥珀色のグラス
火,,赤いマグネット,レッド,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「赤いマグネット」を取り入れると、心に小さな灯りを足しやすい日です。,飲食・休息,休憩・回復,通年,火|飲食・休息|レッド|赤いマグネット
火,,オレンジのクリアファイル,オレンジ,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「オレンジのクリアファイル」を取り入れると、心に小さな灯りを足しやすい日です。,文具・学び,考えごと・学び,通年,火|文具・学び|オレンジ|オレンジのクリアファイル
火,,赤い手帳,ワインレッド,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「赤い手帳」を取り入れると、心に小さな灯りを足しやすい日です。,文具・学び,考えごと・学び,通年,火|文具・学び|ワインレッド|赤い手帳
火,,コーラルのカードケース,コーラル,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「コーラルのカードケース」を取り入れると、心に小さな灯りを足しやすい日です。,文具・学び,考えごと・学び,通年,火|文具・学び|コーラル|コーラルのカードケース
火,,小さな卓上ランプ,ウォームホワイト,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「小さな卓上ランプ」を取り入れると、心に小さな灯りを足しやすい日です。,香り・灯り,気分の切り替え,通年,火|香り・灯り|ウォームホワイト|小さな卓上ランプ
火,,カモミールキャンドル,ハニーイエロー,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「カモミールキャンドル」を取り入れると、心に小さな灯りを足しやすい日です。,香り・灯り,気分の切り替え,秋・冬,火|香り・灯り|ハニーイエロー|カモミールキャンドル
火,,赤いランチクロス,カーマイン,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「赤いランチクロス」を取り入れると、心に小さな灯りを足しやすい日です。,日用品,日常に小さく取り入れる,通年,火|日用品|カーマイン|赤いランチクロス
火,,夕日色のブックカバー,サンセットオレンジ,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「夕日色のブックカバー」を取り入れると、心に小さな灯りを足しやすい日です。,文具・学び,考えごと・学び,通年,火|文具・学び|サンセットオレンジ|夕日色のブックカバー
火,,オレンジのマーカー,マリーゴールド,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「オレンジのマーカー」を取り入れると、心に小さな灯りを足しやすい日です。,日用品,日常に小さく取り入れる,通年,火|日用品|マリーゴールド|オレンジのマーカー
火,,ローズ色のマグカップ,ローズピンク,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「ローズ色のマグカップ」を取り入れると、心に小さな灯りを足しやすい日です。,飲食・休息,休憩・回復,春,火|飲食・休息|ローズピンク|ローズ色のマグカップ
火,,テラコッタのコースター,テラコッタ,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「テラコッタのコースター」を取り入れると、心に小さな灯りを足しやすい日です。,暮らしの道具,生活の土台を整える,通年,火|暮らしの道具|テラコッタ|テラコッタのコースター
火,,朱色の扇子,朱色,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「朱色の扇子」を取り入れると、心に小さな灯りを足しやすい日です。,身につけるもの,外出前・身支度,夏,火|身につけるもの|朱色|朱色の扇子
火,,赤いスマホリング,レッド,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「赤いスマホリング」を取り入れると、心に小さな灯りを足しやすい日です。,身につけるもの,外出前・身支度,通年,火|身につけるもの|レッド|赤いスマホリング
火,,ピンクのイヤリング,ピンク,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「ピンクのイヤリング」を取り入れると、心に小さな灯りを足しやすい日です。,身につけるもの,外出前・身支度,通年,火|身につけるもの|ピンク|ピンクのイヤリング
火,,オレンジ色の花瓶,オレンジ,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「オレンジ色の花瓶」を取り入れると、心に小さな灯りを足しやすい日です。,植物・花,部屋や机まわりを整える,春,火|植物・花|オレンジ|オレンジ色の花瓶
火,,暖色のアートカード,サンセット,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「暖色のアートカード」を取り入れると、心に小さな灯りを足しやすい日です。,文具・学び,考えごと・学び,通年,火|文具・学び|サンセット|暖色のアートカード
火,,赤いミニタオル,レッド,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「赤いミニタオル」を取り入れると、心に小さな灯りを足しやすい日です。,暮らしの道具,生活の土台を整える,通年,火|暮らしの道具|レッド|赤いミニタオル
火,,柚子の香りのミスト,柚子色,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「柚子の香りのミスト」を取り入れると、心に小さな灯りを足しやすい日です。,香り・灯り,気分の切り替え,通年,火|香り・灯り|柚子色|柚子の香りのミスト
火,,ピンクの名刺入れ,ダスティピンク,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「ピンクの名刺入れ」を取り入れると、心に小さな灯りを足しやすい日です。,身につけるもの,外出前・身支度,通年,火|身につけるもの|ダスティピンク|ピンクの名刺入れ
火,,赤いチェック柄のハンカチ,レッド,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「赤いチェック柄のハンカチ」を取り入れると、心に小さな灯りを足しやすい日です。,身につけるもの,外出前・身支度,通年,火|身につけるもの|レッド|赤いチェック柄のハンカチ
火,,小さなキャンドルホルダー,アンバー,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「小さなキャンドルホルダー」を取り入れると、心に小さな灯りを足しやすい日です。,香り・灯り,気分の切り替え,秋・冬,火|香り・灯り|アンバー|小さなキャンドルホルダー
火,,オレンジのマグネット,オレンジ,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「オレンジのマグネット」を取り入れると、心に小さな灯りを足しやすい日です。,飲食・休息,休憩・回復,通年,火|飲食・休息|オレンジ|オレンジのマグネット
火,,ローズ色のノートPCケース,ローズピンク,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「ローズ色のノートPCケース」を取り入れると、心に小さな灯りを足しやすい日です。,文具・学び,考えごと・学び,春,火|文具・学び|ローズピンク|ローズ色のノートPCケース
火,,赤い靴ひも,レッド,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「赤い靴ひも」を取り入れると、心に小さな灯りを足しやすい日です。,日用品,日常に小さく取り入れる,通年,火|日用品|レッド|赤い靴ひも
火,,温かいほうじ茶,琥珀色,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「温かいほうじ茶」を取り入れると、心に小さな灯りを足しやすい日です。,飲食・休息,休憩・回復,通年,火|飲食・休息|琥珀色|温かいほうじ茶
火,,アプリコット色のポーチ,アプリコット,灯り・表現・あたたかさを足すヒント,昼・夜,九紫火星,今日は「アプリコット色のポーチ」を取り入れると、心に小さな灯りを足しやすい日です。,身につけるもの,外出前・身支度,通年,火|身につけるもの|アプリコット|アプリコット色のポーチ
土,○,陶器のマグ,キャメル,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「陶器のマグ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|キャメル|陶器のマグ
土,○,おにぎり,ライスベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「おにぎり」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|ライスベージュ|おにぎり
土,○,黄色いキーホルダー,マスタード,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄色いキーホルダー」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,通年,土|日用品|マスタード|黄色いキーホルダー
土,○,焼き菓子,きつね色,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「焼き菓子」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,秋,土|飲食・休息|きつね色|焼き菓子
土,○,素焼きの鉢,テラコッタ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「素焼きの鉢」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,土|暮らしの道具|テラコッタ|素焼きの鉢
土,○,テラコッタの植木鉢,テラコッタ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「テラコッタの植木鉢」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,土|暮らしの道具|テラコッタ|テラコッタの植木鉢
土,○,はちみつ,ハニーイエロー,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「はちみつ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|ハニーイエロー|はちみつ
土,○,ベージュのトートバッグ,ベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュのトートバッグ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,通年,土|身につけるもの|ベージュ|ベージュのトートバッグ
土,○,土鍋で炊いたごはん,生成り,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「土鍋で炊いたごはん」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,秋・冬,土|飲食・休息|生成り|土鍋で炊いたごはん
土,○,木綿の靴下,オートミール,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「木綿の靴下」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,通年,土|身につけるもの|オートミール|木綿の靴下
土,○,黄色いマグカップ,マスタードイエロー,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄色いマグカップ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|マスタードイエロー|黄色いマグカップ
土,○,焼きたてのパン,ウィート,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「焼きたてのパン」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|ウィート|焼きたてのパン
土,○,革のキーケース,キャメルブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「革のキーケース」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,通年,土|身につけるもの|キャメルブラウン|革のキーケース
土,○,陶器のアクセサリートレイ,サンドベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「陶器のアクセサリートレイ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,通年,土|身につけるもの|サンドベージュ|陶器のアクセサリートレイ
土,○,さつまいものお菓子,イエローオークル,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「さつまいものお菓子」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,秋,土|飲食・休息|イエローオークル|さつまいものお菓子
土,○,ベージュのストール,グレージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュのストール」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,通年,土|身につけるもの|グレージュ|ベージュのストール
土,○,信楽焼の箸置き,土色,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「信楽焼の箸置き」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,土|暮らしの道具|土色|信楽焼の箸置き
土,○,キャラメルラテ,キャラメル,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「キャラメルラテ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|キャラメル|キャラメルラテ
土,○,黄土色のニット,マスタード,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄土色のニット」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,秋・冬,土|身につけるもの|マスタード|黄土色のニット
土,○,ぬか漬け,ベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ぬか漬け」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|ベージュ|ぬか漬け
土,○,ベージュの手帳,ベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュの手帳」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,文具・学び,考えごと・学び,通年,土|文具・学び|ベージュ|ベージュの手帳
土,○,黄色い付箋,レモンイエロー,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄色い付箋」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,通年,土|日用品|レモンイエロー|黄色い付箋
土,○,木綿のタオル,生成り,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「木綿のタオル」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,土|暮らしの道具|生成り|木綿のタオル
土,○,陶器の小皿,サンドベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「陶器の小皿」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,土|暮らしの道具|サンドベージュ|陶器の小皿
土,○,玄米茶,玄米色,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「玄米茶」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|玄米色|玄米茶
土,○,丸いクッション,ベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「丸いクッション」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,土|暮らしの道具|ベージュ|丸いクッション
土,○,ベージュのランチョンマット,リネンベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュのランチョンマット」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,土|暮らしの道具|リネンベージュ|ベージュのランチョンマット
土,○,籐の収納かご,ナチュラルブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「籐の収納かご」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,土|暮らしの道具|ナチュラルブラウン|籐の収納かご
土,○,黄みの花を一輪,ミモザイエロー,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄みの花を一輪」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,植物・花,部屋や机まわりを整える,春,土|植物・花|ミモザイエロー|黄みの花を一輪
土,○,きなこのお菓子,きなこ色,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「きなこのお菓子」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|きなこ色|きなこのお菓子
土,,バナナ,バナナイエロー,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「バナナ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,通年,土|日用品|バナナイエロー|バナナ
土,,栗のお菓子,栗色,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「栗のお菓子」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,秋,土|飲食・休息|栗色|栗のお菓子
土,,ベージュのブックカバー,グレージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュのブックカバー」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,文具・学び,考えごと・学び,通年,土|文具・学び|グレージュ|ベージュのブックカバー
土,,コルクのコースター,コルクブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「コルクのコースター」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,土|暮らしの道具|コルクブラウン|コルクのコースター
土,,土色のノート,アースブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「土色のノート」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,文具・学び,考えごと・学び,通年,土|文具・学び|アースブラウン|土色のノート
土,,キャメルの財布,キャメル,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「キャメルの財布」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,通年,土|身につけるもの|キャメル|キャメルの財布
土,,黄色いハンカチ,マスタード,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄色いハンカチ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,通年,土|身につけるもの|マスタード|黄色いハンカチ
土,,オートミール,オートミール,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「オートミール」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,通年,土|日用品|オートミール|オートミール
土,,ベージュのスリッパ,ベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュのスリッパ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,通年,土|日用品|ベージュ|ベージュのスリッパ
土,,陶器の花瓶,オフベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「陶器の花瓶」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,植物・花,部屋や机まわりを整える,春,土|植物・花|オフベージュ|陶器の花瓶
土,,こっくりした味噌汁,ウォームブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「こっくりした味噌汁」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,通年,土|日用品|ウォームブラウン|こっくりした味噌汁
土,,黄身色のマグネット,クリームイエロー,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄身色のマグネット」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|クリームイエロー|黄身色のマグネット
土,,丸い木製トレー,ナチュラルブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「丸い木製トレー」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,土|暮らしの道具|ナチュラルブラウン|丸い木製トレー
土,,ベージュのエプロン,リネンベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュのエプロン」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,通年,土|身につけるもの|リネンベージュ|ベージュのエプロン
土,,サンドカラーのポーチ,サンドベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「サンドカラーのポーチ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,通年,土|身につけるもの|サンドベージュ|サンドカラーのポーチ
土,,じゃがいものスープ,ポテトベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「じゃがいものスープ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|ポテトベージュ|じゃがいものスープ
土,,玄関マット,ブラウンベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「玄関マット」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,土|暮らしの道具|ブラウンベージュ|玄関マット
